-0.001729171213749862 + 9.479874251627487e-6im,-4.021887298999724e-12 + 4.989759041211281e-14im,-5.318543253371601e-11 + 3.079921865961248e-13im,-4.716097943552035e-5 + 6.068100435764903e-6im,0.004606375597944914 - 9.239662846557277e-6im,-0.0011123868336870674 + 1.0998248927034e-6im,5.613703386637121e-6 - 7.223054640523899e-7im,-0.0011123870372160196 + 1.09982557369156e-6im,-0.0046063959909006785 - 1.3092503991208158e-7im
-0.0017291568061230402 + 0.0001603583443754153im,-1.1422703058883385e-9 + 2.411913617260961e-10im,-1.5162114717326736e-8 + 1.4886682707910617e-9im,-4.330677943527436e-5 + 0.0001025043535176525im,0.004600656663889179 - 0.00015608325598588776im,-0.0011116485418081687 + 1.857042394624733e-5im,5.149276092168572e-6 - 1.2201514562271983e-5im,-0.001111706627517709 + 1.8573713517796872e-5im,-0.004606486596486997 - 2.255675032610789e-6im
-0.0017291168366966527 + 0.0003112452691829173im,-4.214233867538462e-9 + 1.757018583717685e-9im,-5.6532808143685057e-8 + 1.0842898519939022e-8im,-3.265842204397525e-5 + 0.00019819520612963771im,0.004584857122704928 - 0.00030181214499340274im,-0.0011096130899844552 + 3.586272283414854e-5im,3.8671700374647785e-6 - 2.359262346807116e-5im,-0.0011098303331885542 + 3.588664340256941e-5im,-0.004606764656442303 - 4.596897487012569e-6im
-0.0017290514071235756 + 0.00046214862260394996im,-8.973002030888263e-9 + 5.7170651100946625e-9im,-1.2254092801249047e-7 + 3.5272009694642673e-8im,-1.5365619851276836e-5 + 0.0002924571719094701im,0.004559201043346888 - 0.000445404252393573im,-0.0011063210857055914 + 5.28140858768e-5im,1.7882025963597662e-6 - 3.4815487705948995e-5im,-0.001106794415586916 + 5.289169106370754e-5im,-0.004607303836781193 - 7.34832841659054e-6im
-0.0017289606784152713 + 0.0006130764142913972im,-1.502400556749349e-8 + 1.3235260265324404e-8im,-2.105869142339124e-7 + 8.162630026641039e-8im,8.332079928204486e-6 + 0.00038464013809873596im,0.004524046938691613 - 0.0005858874790262732im,-0.0011018373633430072 + 6.927144620167167e-5im,-1.0544418778625237e-6 - 4.57950931588387e-5im,-0.0011026568102451308 + 6.945037712924096e-5im,-0.0046082216240784036 - 1.0685105270684327e-5im
-0.0017288448630955028 + 0.0007640367048998731im,-2.1839277823264108e-8 + 2.534669024417374e-8im,-3.171848095539888e-7 + 1.562458279933252e-7im,3.811355276777445e-5 + 0.00047414146826312394im,0.004479875395890476 - 0.0007223608225328701im,-0.0010962485563286222 + 8.509532103120138e-5im,-4.616531320622234e-6 - 5.6463707213423163e-5im,-0.0010974950114792225 + 8.543622575898408e-5im,-0.004609674722833714 - 1.475587618432537e-5im
-0.0017287042150674462 + 0.0009150376191841937im,-2.8775879607542276e-8 + 4.298833876228817e-8im,-4.380775504407751e-7 + 2.648329608461206e-7im,7.358681647163494e-5 + 0.0005604178696240614im,0.004427273017881501 - 0.000854012147180142im,-0.0010896599546525595 + 0.00010016315831387424im,-8.844496333211923e-6 - 6.676266866814532e-5im,-0.0010914033287101944 + 0.0001007377480981084im,-0.004611853061596099 - 1.967612346769618e-5im
-0.0017285390178501177 + 0.0010660873565130518im,-3.509729996583978e-8 + 6.698455418866544e-8im,-5.683717154627658e-7 + 4.1235372238065704e-7im,0.00011430156317742237 + 0.0006429945865580944im,0.004366913649597824 - 0.0009801319480684898im,-0.0010821918453659638 + 0.00011437188747235104im,-1.3677426154502618e-5 - 7.664374624252383e-5im,-0.0010844896826427293 + 0.00011526073890198813im,-0.0046149727544278416 - 2.552294350022927e-5im
-0.001728349571897905 + 0.0012171941985993809im,-3.999653736925856e-8 + 9.803761856918946e-8im,-7.026840136431282e-7 + 6.029705018837931e-7im,0.00015976278767586868 + 0.0007214716805873717im,0.0042995379614374305 - 0.0011001227504442903im,-0.0010739755521615311 + 0.0001276396084793441im,-1.9049234344315542e-5 - 8.60700279456119e-5im,-0.0010768721258932557 + 0.00012892982654683896im,-0.004619268399985154 - 3.233141998256929e-5im
-0.0017281361817086493 + 0.0013683665144522978im,-4.261957766365207e-8 + 1.3672342617682915e-7im,-8.352917592704108e-7 + 8.400065448322153e-7im,0.00020944479228146676 + 0.0007955273569850902im,0.004225932468222938 - 0.0012135040840811349im,-0.0010651493889622127 + 0.0001399064144858471im,-2.4890878147639515e-5 - 9.501633596746495e-5im,-0.001068675272770786 + 0.0001416892683705856im,-0.004624985103216787 - 4.009262176581423e-5im
-0.001727899143360091 + 0.0015196127627355768im,-4.208809974990389e-8 + 1.8349195235132584e-7im,-9.602801471231247e-7 + 1.1259406839962854e-6im,0.00026280490071092387 + 0.0008649184795709324im,0.004146908983758626 - 0.00131991324448807im,-0.0010558547241105336 + 0.0001511343977041309im,-3.113252444547778e-5 - 0.00010346919096331972im,-0.001060026808500424 + 0.00015350302989531012im,-0.004632370577852138 - 4.8753160483872745e-5im
-0.0017276387330054984 + 0.001670941491859266im,-3.7520434056227186e-8 + 2.386719345371098e-7im,-1.0716801826708403e-6 + 1.4624291752697995e-6im,0.0003192963095656388 + 0.0009294785635904136im,0.00406328536718854 - 0.0014191022749051986im,-0.0010462323203123977 + 0.00016130693167857357im,-3.7705571161296765e-5 - 0.00011142637321595682im,-0.0010510542225253552 + 0.00016435422414111197im,-0.0046416676378655255 - 5.8216164779446835e-5im
-0.0017273551967244346 + 0.0018223613382262027im,-2.805004009228468e-8 + 3.024790116327162e-7im,-1.163592470845239e-6 + 1.8503503603903342e-6im,0.00037837963087488557 + 0.0009891136428866164im,0.00397586823042219 - 0.001510931762365703im,-0.0010364190759590522 + 0.00017042735294081748im,-4.4544453425946325e-5 - 0.00011889614480387304im,-0.001041881877711714 + 0.00017424401373107042im,-0.004653107321040779 - 6.834347171414318e-5im
-0.0017270487419812938 + 0.0019738810231026234im,-1.2841027759951724e-8 + 3.7502647757056856e-7im,-1.2302935535712432e-6 + 2.2898672206247846e-6im,0.0004395328169120192 + 0.001043796469091193im,0.0038854380696164417 - 0.0015953621333484344im,-0.0010265452509046107 + 0.00017851718081069907im,-5.158818608487453e-5 - 0.0001258962062071806im,-0.0010326284915075997 + 0.00018319009321560764im,-0.00466690281602958 - 7.89588034339518e-5im
-0.001726719530807156 + 0.0021255093485862283im,8.899504759232e-9 + 4.5633779313140605e-7im,-1.2663229555694187e-6 + 2.780502683542918e-6im,0.0005022592948376356 + 0.001093559519787718im,0.0037927370795119647 - 0.0016724431634565185im,-0.0010167322186651528 + 0.00018561401691324675im,-5.878161592474053e-5 - 0.00013245246325756748im,-0.0010234050701112816 + 0.00019122487281369126im,-0.004683244293496801 - 8.985168695266626e-5im
-0.0017263676747010293 + 0.0022772551931140917im,3.791232585491764e-8 + 5.463600518328822e-7im,-1.2665504285415484e-6 + 3.3212227295409354e-6im,0.0005660942623313089 + 0.0011384872759345078im,0.0036984597242741167 - 0.001742302390709668im,-0.001007090750710702 + 0.0001917692581478625im,-6.607637649380785e-5 - 0.00013859767711657496im,-0.0010143133053857679 + 0.00019839347938148128im,-0.0047022946780842555 - 0.0001007818835737652im
