-2097.2516286889945 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-467.26949053319447 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,1413.751780289527 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
467.26949053319447 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-2097.2516286889945 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,1334.3982548070103 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
