0.0 + 0.0im,-3926.9908169872015 + 0.0im,0.0 + 0.0im
-2.724897264069216e-14 + 0.0im,0.0 + 0.0im,-3926.9908169872015 + 0.0im
0.0 + 0.0im,10000.0 + 0.0im,9.860761315262648e-28 + 0.0im
0.0 + 0.0im,-9.860761315262648e-28 + 0.0im,10000.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
