0.9071768420525318 + 0.0im,-0.04093223157947508 + 0.0im,0.49590551739499883 + 0.0im,-1.1652894743433466 + 0.0im,-6.93889390390723e-18 + 0.0im,6.93889390390723e-18 + 0.0im,1.0366575096221142 + 0.0im,-0.035374036070782953 + 0.0im,0.3397059132391161 + 0.0im,0.001273239544735165 + 0.0im,0.1273239544735165 + 0.0im,-0.002967385279595205 + 0.0im,-0.29673852795952044 + 0.0im,0.5 + 0.0im,-1.1652894743433466 + 0.0im
1.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,1.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
