-2097.2516286889936 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-467.26949053320055 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,1413.7517802895338 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
467.26949053320055 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-2097.251628688993 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,1334.398254807005 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
